Dist code,Total,male,female
RJ_Baran,1222755,633945,588810
RJ_Barmer,2603751,1369022,1234729
RJ_Bharatpur,2548462,1355726,1192736
RJ_Bhilwara,2408523,1220736,1187787
RJ_Bikaner,2363937,1240801,1123136
RJ_Bundi,1110906,577160,533746
RJ_Chittorgarh,1544338,783171,761167
RJ_Churu,2039547,1051446,988101
RJ_Dausa,1634409,857787,776622
RJ_Dholpur,1206516,653647,552869
RJ_Dungarpur,1388552,696532,692020
RJ_Ganganagar,1969168,1043340,925828
RJ_Hanumangarh,1774692,931184,843508
RJ_Jaipur,6626178,3468507,3157671
RJ_Jaisalmer,669919,361708,308211
RJ_Jalore,1828730,936634,892096
RJ_Jhalawar,1411129,725143,685986
RJ_Jhunjhunu,2137045,1095896,1041149
RJ_Jodhpur,3687165,1923928,1763237
RJ_Karauli,1458248,783639,674609
RJ_Kota,1951014,1021161,929853
RJ_Nagaur,3307743,1696325,1611418
RJ_Pali,2037573,1025422,1012151
RJ_Pratapgarh,867848,437744,430104
RJ_Rajsamand,1156597,581339,575258
RJ_Sawai Madhopur,1335551,704031,631520
RJ_Sikar,2677333,1374990,1302343
RJ_Sirohi,1036346,534231,502115
RJ_Tonk,1421326,728136,693190
RJ_Udaipur,3068420,1566801,1501619
SK_East Sikkim,283583,151432,132151
SK_North Sikkim,43709,24730,18979
SK_South Sikkim,146850,76670,70180
SK_West Sikkim,136435,70238,66197
TG_Adilabad,2741239,1369597,1371642
TG_Hyderabad,3943323,2018575,1924748
TG_Karimnagar,3776269,1880800,1895469
TG_Khammam,2797370,1390988,1406382
TG_Medak,3033288,1523030,1510258
TG_Nalgonda,3488809,1759772,1729037
TG_Nizamabad,2551335,1250641,1300694
TG_Ranga Reddy,5296741,2701008,2595733
TG_Warangal Urban,3512576,1759281,1753295
TN_Ariyalur,754894,374703,380191
TN_Chennai,4646732,2335844,2310888
TN_Coimbatore,3458045,1729297,1728748
TN_Cuddalore,2605914,1311697,1294217
TN_Dharmapuri,1506843,774303,732540
TN_Dindigul,2159775,1080938,1078837
TN_Erode,2251744,1129868,1121876
TN_Kancheepuram,3998252,2012958,1985294
TN_Kanyakumari,1870374,926345,944029
TN_Karur,1064493,528184,536309
TN_Krishnagiri,1879809,960232,919577
TN_Madurai,3038252,1526475,1511777
TN_Nagapattinam,1616450,798127,818323
TN_Namakkal,1726601,869280,857321
TN_Nilgiris,735394,360143,375251
TN_Perambalur,565223,282157,283066
TN_Pudukkottai,1618345,803188,815157
TN_Ramanathapuram,1353445,682658,670787
TN_Salem,3482056,1781571,1700485
TN_Sivaganga,1339101,668672,670429
TN_Thanjavur,2405890,1182416,1223474
TN_Theni,1245899,625683,620216
TN_Thiruvallur,3728104,1876062,1852042
TN_Thiruvarur,1264277,626693,637584
TN_Thoothukkudi,1750176,865021,885155
TN_Tiruchirappalli,2722290,1352284,1370006
TN_Tirunelveli,3077233,1520912,1556321
TN_Tiruppur,2479052,1246159,1232893
TN_Tiruvannamalai,2464875,1235889,1228986
TN_Vellore,3936331,1961688,1974643
TN_Viluppuram,3458873,1740819,1718054
TN_Virudhunagar,1942288,967709,974579
TR_Dhalai,378230,194544,183686
TR_North Tripura,693947,352860,341087
TR_South Tripura,876001,447544,428457
TR_West Tripura,1725739,879428,846311
UP_Agra,4418797,2364953,2053844
UP_Aligarh,3673889,1951996,1721893
UP_Ambedkar Nagar,2397888,1212410,1185478
UP_Amroha,1840221,963449,876772
UP_Auraiya,1379545,740040,639505
UP_Ayodhya,2470996,1259628,1211368
UP_Azamgarh,4613913,2285004,2328909
UP_Baghpat,1303048,700070,602978
UP_Bahraich,3487731,1843884,1643847
UP_Ballia,3239774,1672902,1566872
UP_Banda,1799410,965876,833534
UP_Barabanki,3260699,1707073,1553626
UP_Bareilly,4448359,2357665,2090694
UP_Basti,2464464,1255272,1209192
UP_Bhadohi,1578213,807099,771114
UP_Bijnor,3682713,1921215,1761498
UP_Budaun,3681896,1967759,1714137
UP_Bulandshahr,3499171,1845260,1653911
UP_Chandauli,1952756,1017905,934851
UP_Chitrakoot,991730,527721,464009
UP_Deoria,3100946,1537436,1563510
UP_Etah,1774480,947339,827141
UP_Etawah,1581810,845856,735954
UP_Farrukhabad,1885204,1006240,878964
UP_Fatehpur,2632733,1384722,1248011
UP_Firozabad,2498156,1332046,1166110
UP_Gautam Buddha Nagar,1648115,890214,757901
UP_Ghaziabad,4681645,2488834,2192811
UP_Ghazipur,3620268,1855075,1765193
UP_Gonda,3433919,1787146,1646773
UP_Gorakhpur,4440895,2277777,2163118
UP_Hardoi,4092845,2191442,1901403
UP_Hathras,1564708,836127,728581
UP_Jalaun,1689974,906092,783882
UP_Jaunpur,4494204,2220465,2273739
UP_Jhansi,1998603,1057436,941167
UP_Kannauj,1656616,881776,774840
UP_Kanpur Dehat,1796184,963255,832929
UP_Kanpur Nagar,4581268,2459806,2121462
UP_Kasganj,1436719,764165,672554
UP_Kaushambi,1599596,838485,761111
UP_Kushinagar,3564544,1818055,1746489
UP_Lakhimpur Kheri,4021243,2123187,1898056
UP_Lalitpur,1221592,641011,580581
UP_Lucknow,4589838,2394476,2195362
UP_Maharajganj,2684703,1381754,1302949
UP_Mahoba,875958,466358,409600
UP_Mainpuri,1868529,993377,875152
UP_Mathura,2547184,1367125,1180059
UP_Mau,2205968,1114709,1091259
UP_Meerut,3443689,1825743,1617946
UP_Mirzapur,2496970,1312302,1184668
UP_Moradabad,4772006,2503186,2268820
UP_Muzaffarnagar,4143512,2193434,1950078
UP_Pilibhit,2031007,1072002,959005
UP_Prayagraj,5954391,3131807,2822584
UP_Rae Bareli,3405559,1752542,1653017
UP_Rampur,2335819,1223889,1111930
UP_Saharanpur,3466382,1834106,1632276
UP_Sant Kabir Nagar,1715183,869656,845527
UP_Shahjahanpur,3006538,1606403,1400135
UP_Shrawasti,1117361,593897,523464
UP_Siddharthnagar,2559297,1295095,1264202
UP_Sitapur,4483992,2375264,2108728
UP_Sonbhadra,1862559,971344,891215
UP_Sultanpur,3797117,1914586,1882531
